公司名稱,公司網址,職務名稱,職務網址,接受身份,工作經歷,學歷要求,科系要求,語文條件,擅長工具,工作技能,其他條件
新明珠系統方案有限公司,https://www.104.com.tw/company/1a2x6bj6do,中級程式設計師(.NET),https://www.104.com.tw/job/ajax/content/6wlgg,"['上班族', '原住民', '二度就業']",5年以上,大學以上,無,['英文:聽 /中等、說 /中等、讀 /中等、寫 /中等'],無,無,"['職位要求：', '1.selenium/爬蟲技術', '開發經驗。', '2.具備良好的編程風格。', '3.精通.NET開發、SQL語言、MySQL，了解MySQL配置、性能優化等，熟悉Javascript、html、xml、AJAX等。', '4.較強的編程能力，能夠完成較複雜的交互流程設計和實現。', '5.UI頁面規劃設計。']"
大好興業股份有限公司,https://www.104.com.tw/company/wdn0lg0,程式設計師,https://www.104.com.tw/job/ajax/content/6uva2,['上班族'],不拘,大學以上,"['資訊管理相關', '資訊工程相關']",無,"['ASP.NET', 'C#', 'PHP', 'Python', 'Access', 'MS SQL', 'MySQL', 'VBScript']",無,"['1.ASP.NET/C#/VB兩年以上開發經驗者佳', '2.具備Python/Php開發經驗者', '3.熟悉MS', 'SQL/MySQL操作', '4.有基本HTML、JavaScript、CSS語法相關概念']"
技嘉科技股份有限公司,https://www.104.com.tw/company/a4kvltk,實習 / PT - Full-Stack Engineer,https://www.104.com.tw/job/ajax/content/6ane2,"['日間就讀中', '夜間就讀中', '學生實習']",不拘,大學以上,"['數學及電算機科學學科類', '商業及管理學科類']",['英文:聽 /略懂、說 /略懂、讀 /中等、寫 /略懂'],"['Linux', 'C', 'C++', 'C++.Net', 'Java', 'Python', 'Spring', 'Struts', 'R', 'Informix', 'JDBC', 'MS SQL', 'MySQL', 'PostgreSQL', 'RDBMS', 'JavaScript', 'HTTP', 'Socket', 'ssh', 'TCP/IP']",無,[]
杜浦數位安全有限公司,https://www.104.com.tw/company/1a2x6bkavd,Research Engineer,https://www.104.com.tw/job/ajax/content/6y4pq,"['上班族', '應屆畢業生', '學生實習']",2年以上,大學以上,無,['英文:聽 /略懂、說 /略懂、讀 /精通、寫 /中等'],"['Linux', 'C', 'Python']",無,"['1.', 'Required', 'Skills', '至少需兩項具備', '2.', '須具備英文技術文件之閱讀能力']"
順豐管理顧問有限公司,https://www.104.com.tw/company/1a2x6bl67g,網站程式設計師(台中市西屯區),https://www.104.com.tw/job/ajax/content/6xfbe,"['上班族', '應屆畢業生']",1年以上,專科以上,['資訊工程相關'],['英文:聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂'],"['HTML', 'JavaScript', 'jQuery', 'CSS']",無,"['熟悉', 'CSS、JavaScript', '、HTML，熟悉', 'JQuery，熟悉', 'ES6', '特性', '<基本要求>', '1.', '程式架構邏輯清晰。具有分析問題的能力。', '2.', '具有獨立開發能力，並可以與外部技術以及工作同仁溝通協作。', '3.', '具備良好跨部門溝通能力與合作能力', '。', '4.', '具備足夠抗壓性、善於溝通協調。', '<加分條件>', '1.', 'Git', '2.', 'Webpack', '3.', 'VUE.JS/Angular', '(任一)', '4.', '具備關聯式資料庫相關實務經驗，MySQL、SQLServer', 'etc...', '5.', 'TypeScript']"
聯成電腦有限公司(聯成電腦/聯成美語),https://www.104.com.tw/company/13kmziew,Python程式講師-新竹分校,https://www.104.com.tw/job/ajax/content/5y4rk,"['上班族', '應屆畢業生', '研發替代役', '外籍人士', '原住民']",2年以上,專科以上,無,無,"['Python', 'MySQL']",無,['須具備相關經驗2年以上']
國泰金控_國泰金融控股股份有限公司,https://www.104.com.tw/company/wjct48g,數據分析師(組織營運分析),https://www.104.com.tw/job/ajax/content/6w1uv,"['上班族', '應屆畢業生']",不拘,大學以上,無,['英文:聽 /精通、說 /精通、讀 /精通、寫 /精通'],無,無,"['具備能力：', '1.', '具備SQL程式撰寫、Tableau使用經驗', '2.', '具備Python', '(e.g.,', 'Pandas,', 'Numpy,', 'Matplotlib,', 'and', 'Scikit-learn)或R', '(e.g.,', 'dplyr,', 'ggplot2,', 'and', 'relevant', 'machine', 'learning', 'libraries)資料分析程式撰寫能力', '3.', '具備統計學基礎知識(e.g.,', 'descriptive', 'statistics,', 'ANOVA,', 'and', 'hypothesis', 'testing)', '4.', '具備機器學習模型實作經驗(e.g.,', 'cluster', 'analysis,', 'generalized', 'linear', 'regression', 'model,', 'and', 'tree-based', 'models)', '5.', '具備溝通協調、團隊合作、問題解決、自主學習、獨立作業及執行能力', '加分項目：', '1.', '具備網頁爬蟲、文字探勘、自然語言處理相關實作經驗', '2.', '具備商業或數據相關競賽得獎或參賽經驗', '3.', '具備企劃及簡報製作能力', '4.', '具備良好的英語聽力與閱讀能力(全民英檢中高級以上、TOEIC', '800以上、IELTS', '6.5以上、TOEFL', 'iBT', '90以上)']"
台灣富士全錄股份有限公司,https://www.104.com.tw/company/1mpl4c0,RPA技術分析師,https://www.104.com.tw/job/ajax/content/6tejt,"['上班族', '原住民']",1年以上,大學、碩士,['資訊管理相關'],['英文:聽 /中等、說 /中等、讀 /精通、寫 /精通'],"['Excel', 'Outlook', 'PowerPoint', 'Word']",無,"['1.MS', 'Office文書能力', '2.公司提供筆電', '3.熟悉以下任一語言：VBA/VB.NET/JAVA/C#', '4.具備以下任一語言基礎：PowerShell', '/', 'Bash', '/', 'Python', '/', 'JavaScript', '5.具備任一', 'RDBMS', '操作以及SQL', 'Statement基礎', '6.具備前端', 'HTML5', '/', 'CSS', '或任一', 'Front', 'End', 'Framework', '概念', '7.具備', '00P', '/', 'Web', 'Service', '/', 'RESTful', 'API', '概念', '8.具備與團隊以及外部使用者保持良好關係的能力', '9.具備主動積極的心態，並對技術有熱情，有意願學習新技術', 'Nice', 'To', 'Have:', '1.具有', 'Git', '/', 'Bitbucket', '經驗', '2.具有', 'Puppet', '/', 'Ansible', '/', 'Jenkins', '3.具有', 'Docker', '/', 'Kubernetes', '/', 'GCP', '/', 'AWS', '基礎概念', '4.具耔MVC/網路架構/系統架構/資料結構/演算法/網路爬蟲基礎概念', '5.對透過程式/軟體/工具進行流程自動化有興趣', '6.有意願往系統分析師/系統架構師的職涯發展', '7.曾參與過以', 'Agile/Scrum', '進行之專案開發流程']"
天堂遊戲有限公司,https://www.104.com.tw/company/1a2x6bjprf,[RD] Backend Engineer (資訊開發部) -- 組織擴編,https://www.104.com.tw/job/ajax/content/6ta88,"['上班族', '應屆畢業生']",不拘,專科、大學、碩士,無,無,無,無,無
真如國際有限公司,https://www.104.com.tw/company/1a2x6bl2pm,電商ETL資訊人員(周休二日/含全勤薪34000起),https://www.104.com.tw/job/ajax/content/6y6zv,"['上班族', '應屆畢業生', '夜間就讀中', '二度就業']",2年以上,專科以上,"['資訊管理相關', '資訊工程相關']",無,無,無,無
烏龜移動科技股份有限公司,https://www.104.com.tw/company/1a2x6bjz66,資料分析師,https://www.104.com.tw/job/ajax/content/63jf9,"['上班族', '應屆畢業生']",不拘,大學以上,無,['英文:聽 /中等、說 /中等、讀 /中等、寫 /中等'],無,無,"['加分條件', '-', '熟悉', 'NLP,', 'Deep', 'Learning', '-', '熟悉', 'Python', '-', '具Spark', '及', 'GPU', '運算優化經驗尤佳', '-', 'DMP', '操作經驗']"
烏龜移動科技股份有限公司,https://www.104.com.tw/company/1a2x6bjz66,資料科學家,https://www.104.com.tw/job/ajax/content/5kzi3,"['上班族', '應屆畢業生']",不拘,大學以上,無,['英文:聽 /中等、說 /中等、讀 /中等、寫 /中等'],無,無,"['加分條件', '-', '熟悉', 'NLP,', 'Deep', 'Learning', '-', '熟悉', 'Python', '-', '具Spark', '及', 'GPU', '運算優化經驗尤佳', '-', 'DMP', '操作經驗']"
普羅傑有限公司,https://www.104.com.tw/company/1a2x6bkkcm,C#後端主管  專職C# Winform/WPF/ASP.NET,https://www.104.com.tw/job/ajax/content/6qckb,['上班族'],不拘,大學以上,無,無,['C#'],無,無
德昂資訊股份有限公司,https://www.104.com.tw/company/1a2x6bk3cz,BI顧問--台北/高雄,https://www.104.com.tw/job/ajax/content/6g5m7,"['上班族', '應屆畢業生']",1年以上,專科以上,"['資訊工程相關', '商業及管理學科類', '數理統計相關']","['中文:聽 /精通、說 /精通、讀 /精通、寫 /精通', '英文:聽 /中等、說 /中等、讀 /中等、寫 /中等']",無,無,"['1.', '2年及以上BI專案經驗（BI產品不限），對ETL、建模、報表開發、需求調查與設計有完整經驗；', '2.', '熟練使用Oracle、SQL', 'Server或MySQL等主流資料庫，精通SQL語言；', '3.', '熟悉Tomcat、Jboss、Weblogic等主流伺服器的安裝及佈署；', '4.', '熟悉MicroStrategy、Cognos、BO或BIEE等BI工具者尤佳；', '5.', '有較好的溝通和文字、口語表達能力，能快速融入大團隊，並有自信地在眾人前進行簡報；', '6.', '自我學習能力強，希望在大數據和商業智慧領域長期發展。', '公司的官網地址', '：', 'www.dataondemand.cn，歡迎您登陸瞭解。', '德昂公司邀請有志商務智慧大業的青年志士加入我們的團隊。德昂是MSTR大中華區最大總代理和解決方案提供商，專注於行銷BI，財務BI，移動BI，資料視覺化和企業BI，公司過去三年年均成長率超過50%，並持續盈利。目前擁有諸如新東方，和訊財經，外貿信託，海底撈，恒昌利通，味全，新華保險，富士康，Sisley,', '中廣核等超過100家的知名客戶。公司業務模式除產品銷售，人力派遣，技術服務，專案實施外，也在逐步引入高端大資料分析諮詢，各類BI應用模組的開發，以及BI培訓認證等增值業務。', '德昂公司每年50%以上增長，面向金融，能源，企業，零售等行業客戶，專注移動商務智慧應用開發，擁有自主智慧財產權，獨特的企業文化，', '致力建設幸福企業。建立有趣活潑的工作氛圍。附上我們的企業文化簡介給您參考', ':', 'http://www.dataondemand.cn/content.aspx?page=deangwenhua', '德昂公司的願景', '：', '•', '造就幸福企業，讓工作成為有趣的事。', '•', '成為BI領域最專業的服務提供,', '應用開發,', '和產品銷售公司。', '•', '致力提升產業能力，建立產業標準，發展良好產業生態。', '•', '成為雲服務，大資料分析，移動應用，互聯網產業的重要參與者和推動者。', '德昂公司的福利', '：', '•', '有競爭力的薪酬；', '•', '正式員工七險一金（臺灣勞健保）', '•', '員工旅遊', '•', '員工宿舍（北京）', '•', '彈性調班、不刷卡考勤制度等。', '德昂目前正在臺北，上海，北京和深圳四個地方擴大招才，急需业务，市场营销，BI技术，项目管理，需求设计等领域人才，如果您有相關領域的朋友也正在尋找機會，歡迎推薦，非常感謝。']"
好好投資科技股份有限公司,https://www.104.com.tw/company/1a2x6bjpjb,Backend Engineer(需熟Python、RESTful API ),https://www.104.com.tw/job/ajax/content/5572i,"['上班族', '應屆畢業生', '二度就業', '學生實習']",1年以上,專科以上,無,['英文:聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂'],無,無,"['加分條件', '(非必備要件，具備則加分)：', '1.', '具搜尋引擎及相關技術實務經驗。', '2.不含學習時間，有超過一年以上後端開發經驗佳。', '3.懂雲端暨大數據資料分析相關應用。', '也歡迎碩博士在校學生Apply，我們彈性的工時可以讓您兼顧學業與工作。', '[有相關開發經驗者優先錄取]', '(面試時需能Demo作品-金融相關尤佳)']"
旭峻資訊有限公司,https://www.104.com.tw/company/1a2x6bjda4,WEB程式實習生-學生實習,https://www.104.com.tw/job/ajax/content/6y6bd,"['上班族', '應屆畢業生', '日間就讀中', '夜間就讀中', '原住民', '二度就業', '學生實習']",不拘,高中以下、高中、專科、大學,無,無,無,無,無
Boar Technology Pte. Itd.,https://www.104.com.tw/company/1a2x6bkokv,海外求職海外企業內勤/儲備幹部（視能力分配岡位）可以加上聯繫方式 詳談,https://www.104.com.tw/job/ajax/content/6phtb,"['上班族', '應屆畢業生', '外籍人士', '原住民']",不拘,高中、專科、大學,無,['中文:聽 /精通、說 /精通、讀 /精通、寫 /精通'],"['Excel', 'Word']",無,無
Boar Technology Pte. Itd.,https://www.104.com.tw/company/1a2x6bkokv,爬蟲開發工程師,https://www.104.com.tw/job/ajax/content/6pbnq,"['上班族', '應屆畢業生', '日間就讀中', '夜間就讀中', '研發替代役', '外籍人士', '原住民', '學生實習']",不拘,專科以上,無,無,"['AJAX', 'HTML', 'JavaScript']",無,"['1、全日制本科以上，電腦相關專業具備1年及以上開發項目經驗；', '2、扎實的Java/Python基礎，熟悉多執行緒程式設計環境，熟悉常見開源框架；', '3、熟悉前端技術，HTML，JavaScript，Ajax等；', '4、熟悉抓取原理及技術，熟悉Scrapy、Pyspider、nutch等主流爬蟲框架使用,有獲取電商數據經驗者優先；', '5、熟練使用Mysql', '、mongodb、', 'Redis等資料庫；', '6、具有構建分散式爬蟲系統的經驗，具有海量高並發網頁爬取項目經驗優先;', '7、具備較好的資料分析能力和解決問題的能力、具有機器學習、資料採擷等經驗者優先。']"
Boar Technology Pte. Itd.,https://www.104.com.tw/company/1a2x6bkokv,【柬埔寨金邊】軟體開發/App工程師,https://www.104.com.tw/job/ajax/content/6r16v,"['上班族', '應屆畢業生', '外籍人士', '原住民']",不拘,高中以上,無,['中文:聽 /精通、說 /精通、讀 /精通、寫 /精通'],"['Mac OS', 'Excel']",無,無
Morning Air Technology PTE.LTD,https://www.104.com.tw/company/1a2x6bkys7,【儲備幹部】柬埔寨職缺,https://www.104.com.tw/job/ajax/content/6prh1,"['上班族', '應屆畢業生', '外籍人士', '原住民', '二度就業']",2年以上,專科、大學、碩士,無,無,無,無,"['。男女不拘，歡迎加入本公司', '。公司提供到職機票，簽證(落地簽/商務簽證)，及當地勞工證(工作證)', '。入職滿半年後，兩次帶薪年假(每次12天)，公司提供來回機票', '。提供酒店式公寓', '(2人一間）', '。餐食（早/中/晚餐，三餐）', '。上下班後勤專車接送', '。双薪｜三薪', '。年終獎金（至少一個月按比例發放）', '(', '薪資皆為稅後實領，不另扣', '&', '試用期兩個月', '/', '優秀者另議', ')']"
艾得基客行銷顧問股份有限公司,https://www.104.com.tw/company/1a2x6bi2px,廣告技術工程師,https://www.104.com.tw/job/ajax/content/6ofr4,"['上班族', '應屆畢業生']",1年以上,大學、碩士,"['資訊管理相關', '其他大眾傳播相關', '數學及電算機科學學科類']",無,"['DHTML', 'HTML', 'JavaScript', 'jQuery', 'CSS', 'Sublime']","['軟體程式設計', '網路程式設計', '資料庫程式設計']","['1.廣告媒體追蹤經驗，或是前端網頁程式設計', 'HTML5', '/', 'Javascript', '/', 'Chrome', 'Dev', 'Tools.', '2.熱愛加強自身能力，從日常中學習或是自我提升.', '3.具有良好的學習動機.', '4.具有解決問題的能力.', '加分項目:', '對', 'Marketing', 'Technology', '有興趣.', '曾接觸', '網路爬蟲', '.', '曾接觸', 'Google', 'Tag', 'Manger.', '曾接觸', 'Google', 'Analytic.', '曾接觸', 'FB', 'pixel', 'code.', '曾接觸', 'Google', 'remarketing', 'tag.', '曾接觸', '其他相關廣告', 'tracking', 'code.', '熟悉', 'Facebook、Google', 'Ads、Yahoo', '等主流廣告媒體', '了解一個以上的', 'DSP', '媒體']"
亞利安紙業股份有限公司,https://www.104.com.tw/company/7jr5suo,業務資料分析（高級）工程師,https://www.104.com.tw/job/ajax/content/2u61r,"['上班族', '應屆畢業生']",1年以上,大學以上,無,無,無,無,無
光碩資訊有限公司,https://www.104.com.tw/company/1a2x6bkypk,爬蟲開發工程師,https://www.104.com.tw/job/ajax/content/6vafg,"['上班族', '應屆畢業生']",2年以上,不拘,無,無,無,無,無
向上國際科技股份有限公司,https://www.104.com.tw/company/b7j4cx4,BI工程師/資料分析師,https://www.104.com.tw/job/ajax/content/6titr,['上班族'],2年以上,專科以上,"['數理統計相關', '資訊工程相關', '應用數學相關']",無,"['Python', 'R', 'MS SQL', 'Tableau']",無,"['-', '本科以上學歷（信息技術，計算機科學，軟件工程，應用數學，統計，管理）', '-', '2年以上資料工程、資料分析、或BI的經驗', '-', '具有在24/7生產環境中使用IT系統的經驗', '-', '具有驅動和交付新功能以改善業務部門運營的經驗', '-', '具有統計相關知識，可運用方法論進行資料分析', '加分技能：', '-', '具有Python、R經驗優先', '-', '熟悉機器學習/時間序列模型/網路爬蟲/自然語言處理，或有相關實作經驗', '-', '較強的溝通，表達，組織和促進技能（包括在業務和技術需求之間“轉換”的能力）', '-', '商業智能知識：SQL，Tableau', '-', '了解項目生命週期和應用程序生命週期方法']"
Morning Air Technology PTE.LTD,https://www.104.com.tw/company/1a2x6bkys7,【爬蟲開發工程師】柬埔寨首都金邊職缺,https://www.104.com.tw/job/ajax/content/6pg3p,"['上班族', '應屆畢業生', '原住民', '二度就業']",2年以上,大學以上,無,無,無,無,"['1.全日制本科以上，電腦相關專業具備1年及以上開發專案經驗；', '2.扎實的Java/Python基礎，熟悉多執行緒程式設計環境，熟悉常見開源框架；', '3.熟悉前端科技，HTML，JavaScript，Ajax等；', '4.熟悉抓取原理及科技，熟悉Scrapy、Pyspider、nutch等主流爬蟲框架使用，有獲取電商數據經驗者優先；', '5.熟練使用Mysql、mongodb、Redis等資料庫；', '6.具有構建分佈式爬蟲系統的經驗，具有海量高併發網頁爬取項目經驗優先；', '7.具備較好的資料分析能力和解决問題的能力、具有機器學習、資料挖掘等經驗者優先。']"
智邦科技股份有限公司,https://www.104.com.tw/company/a5hcezc,軟體研發-軟體工程師,https://www.104.com.tw/job/ajax/content/6d5kr,['上班族'],不拘,大學、碩士,"['資訊工程相關', '應用數學相關', '電機電子工程相關']",無,無,無,"['-', '具分析問題定義與解決能力,', '有很強的算法實現能力。', '-', '熟悉Web', '數據抓取(HTTP)、解析網路(lxml、XPath)爬蟲開發經驗', '。', '-', '熟悉網路通訊相關協定。', '-', '熟悉', 'VMware,', 'OpenStack', '和ONF。']"
台灣之星電信股份有限公司,https://www.104.com.tw/company/wiedfdk,03_大數據科學家,https://www.104.com.tw/job/ajax/content/5amyj,"['上班族', '原住民']",2年以上,大學、碩士,無,無,無,無,"['(1)', '資料庫語言', '(SQL)', '(2)', 'ETL', '工具', '(Trinity)', '(3)', '爬網程式', '(Python)', '(4)', 'Data', 'Mining', '(R/SAS/SPSS)', '(5)', 'Data', 'Modeling', '(6)', '熟悉大數據架構(HDFS)', '(7)', '統計分析專業知識', '(8)', '掌握各產業知識']"
香港商慧科訊業有限公司台灣分公司,https://www.104.com.tw/company/wiisc20,[R&D] 軟體工程師 - 數據採集,https://www.104.com.tw/job/ajax/content/6gd97,"['上班族', '應屆畢業生']",不拘,大學、碩士,"['資訊工程相關', '資訊管理相關', '電機電子工程相關']",無,無,無,無
凡谷興業有限公司,https://www.104.com.tw/company/1a2x6bi8ln,網頁爬蟲工程師,https://www.104.com.tw/job/ajax/content/6ww66,"['上班族', '應屆畢業生']",不拘,大學以上,無,['英文:聽 /中等、說 /中等、讀 /中等、寫 /中等'],"['Node.js', 'ReactJS', 'VueJS']",無,"['必備:', '1.操作網頁DOM元件經驗', '2.Node.js開發經驗', '3.Git版本控制系統', '加分:', '1.', 'React', 'Vue', '開發經驗']"
